Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
00 Occupation blank,0000 Occupation blank,0 Occupation code blank,Female,1349997,33036,17389,33037,22632,37167,19133
00 Occupation blank,0000 Occupation blank,0 Occupation code blank,Male,1484977,42704,22803,46283,35067,47662,25010
00 Occupation blank,0000 Occupation blank,0 Occupation code blank,Total,2834974,38100,20075,39771,27466,42701,21506
"11 Chief executives, general managers and legislators",1100 Manager or director - type not specified,110000 Director - type not specified,Female,278,72027,54873,68197,54521,74656,58321
"11 Chief executives, general managers and legislators",1100 Manager or director - type not specified,110000 Director - type not specified,Male,526,96866,66010,89079,66010,101494,71739
"11 Chief executives, general managers and legislators",1100 Manager or director - type not specified,110000 Director - type not specified,Total,804,88277,61911,81637,61913,92168,65733
"11 Chief executives, general managers and legislators",1111 Chief executive officer or managing director,111100 Executive - type not specified,Female,7,131228,62714,133603,103653,138444,72243
"11 Chief executives, general managers and legislators",1111 Chief executive officer or managing director,111100 Executive - type not specified,Male,6,95590,85985,83212,66002,100373,90591
"11 Chief executives, general managers and legislators",1111 Chief executive officer or managing director,111100 Executive - type not specified,Total,13,114780,85933,108408,84990,120873,90450
"11 Chief executives, general managers and legislators",1111 Chief executive officer or managing director,111111 Chief executive officer,Female,48358,112951,60478,74470,48000,118093,63709
"11 Chief executives, general managers and legislators",1111 Chief executive officer or managing director,111111 Chief executive officer,Male,125894,174814,78976,114067,64908,183804,82408
"11 Chief executives, general managers and legislators",1111 Chief executive officer or managing director,111111 Chief executive officer,Total,174252,157646,73960,103148,60000,165566,78000
"11 Chief executives, general managers and legislators",1112 General manager,111200 Company director - type not specified,Female,33,59218,31035,48189,15501,61977,36521
"11 Chief executives, general managers and legislators",1112 General manager,111200 Company director - type not specified,Male,89,100594,44666,46100,32897,108226,52183
"11 Chief executives, general managers and legislators",1112 General manager,111200 Company director - type not specified,Total,122,89402,39907,46597,23497,95716,46842
"11 Chief executives, general managers and legislators",1112 General manager,111211 Corporate general manager,Female,80836,84026,62486,73453,59796,87457,65804
"11 Chief executives, general managers and legislators",1112 General manager,111211 Corporate general manager,Male,147000,126020,86939,108769,83139,131170,91119
"11 Chief executives, general managers and legislators",1112 General manager,111211 Corporate general manager,Total,227836,111121,77885,96227,74415,115658,81535
"11 Chief executives, general managers and legislators",1112 General manager,111212 Air force senior officer,Female,1089,99908,92714,97713,93151,103445,95308
"11 Chief executives, general managers and legislators",1112 General manager,111212 Air force senior officer,Male,6442,117347,108064,110586,107980,121032,112071
"11 Chief executives, general managers and legislators",1112 General manager,111212 Air force senior officer,Total,7531,114825,105602,108721,106238,118489,109723
"11 Chief executives, general managers and legislators",1113 Legislator,111311 Councillor,Female,1688,58230,49462,50797,47566,63079,53482
"11 Chief executives, general managers and legislators",1113 Legislator,111311 Councillor,Male,1617,67937,58392,61388,56837,74089,62823
"11 Chief executives, general managers and legislators",1113 Legislator,111311 Councillor,Total,3305,62979,53248,55665,51279,68466,57415
"11 Chief executives, general managers and legislators",1113 Legislator,111312 Member of parliament,Female,281,187570,175916,172217,169580,233469,231688
"11 Chief executives, general managers and legislators",1113 Legislator,111312 Member of parliament,Male,576,204513,195794,185025,178639,248816,244905
"11 Chief executives, general managers and legislators",1113 Legislator,111312 Member of parliament,Total,857,198957,191070,180776,174694,243784,240360
"11 Chief executives, general managers and legislators",1113 Legislator,111399 State governor,Female,7,302133,237031,214739,164815,313092,275580
"11 Chief executives, general managers and legislators",1113 Legislator,111399 State governor,Male,14,146923,89396,111698,88101,158575,91898
"11 Chief executives, general managers and legislators",1113 Legislator,111399 State governor,Total,21,198660,99354,147762,92836,210081,113964
12 Farmers and farm managers,1210 Farmer - type not specified,121000 Farm overseer - type not specified,Female,16,15489,13341,17013,16382,15649,13541
12 Farmers and farm managers,1210 Farmer - type not specified,121000 Farm overseer - type not specified,Male,45,24827,18224,28471,20325,26687,19349
12 Farmers and farm managers,1210 Farmer - type not specified,121000 Farm overseer - type not specified,Total,61,22378,16863,25198,19108,23743,18079
12 Farmers and farm managers,1211 Aquaculture farmer,121111 Aquaculture farmer or farm overseer,Female,574,25850,20907,23811,19990,26903,21489
12 Farmers and farm managers,1211 Aquaculture farmer,121111 Aquaculture farmer or farm overseer,Male,1842,49195,42264,46188,41496,51443,44011
